Ország	Népesség	Használók	Arány
Afghanistan	32526562	2177801
Albania	2896679	1794798
Algeria	39666519	7608158
Andorra	70473	67786
Angola	25021974	5628115
Antigua and Barbuda	91818	59234
Argentina	43416755	29455167
Armenia	3017712	1473075
Aruba	103889	89923
Australia	23968973	20328968
Austria	8544586	6929591
Azerbaijan	9753968	5955494
Bahamas	388019	319724
Bahrain	1377237	1257045
Bangladesh	160995642	19420674
Barbados	284215	224956
Belarus	9495826	5736835
Belgium	11299192	9876100
Belize	359287	154647
Benin	10879829	601499
Bermuda	62004	60200
Bhutan	774830	279769
Bolivia	10724705	4341667
Bosnia and Herzegovina	3810416	2338724
Botswana	2262485	463809
Brazil	207847528	132357306
Brunei	423188	301456
Bulgaria	7149787	4118399
Burkina Faso	18105570	1770001
Burundi	11178921	159379
Cabo Verde	520502	217763
Cambodia	15577899	1628113
Cameroon	23344179	3701585
Canada	35939927	31561351
Cayman Islands	59967	44445
Central African Republic	4900274	213162	
Chad	14037472	366980
Chile	17948141	13664243
China	1376048943	705914032
Colombia	48228704	26367983
Comoros	788474	56997
Congo	4620330	342411
Costa Rica	4807850	2607434
Côte d'Ivoire	22701556	4481936
Croatia	4240317	3023889
Cuba	11389562	3553543
Cyprus	1165300	827782
Czech Republic	10543186	9037698
Denmark	5669081	5453119
Djibouti	887861	101113
Dominica	72680	47305
Dominican Republic	10528391	5380008
DR Congo	77266814	2794834
Ecuador	16144363	6948911
Egypt	91508084	29844708
El Salvador	6126583	2183461
Equatorial Guinea	845060	171273
Eritrea	5227791	54145
Estonia	1312558	1170726
Ethiopia	99390750	3781284
Faeroe Islands	48199	46907
Fiji	892145	403720
Finland	5503457	5087138
France	64395345	55101478
French Polynesia	282764	177780
Gabon	1725292	175528
Gambia	1990924	327640
Georgia	3999812	2066531
Germany	80688545	70569048
Ghana	27409893	6981691
Greece	10954617	7042792
Greenland	56186	37764
Grenada	106825	41006
Guam	169885	121440
Guatemala	16342897	4169773
Guinea	12608590	226245
Guinea-Bissau	1844325	63698
Guyana	767085	298341
Haiti	10711067	1270027
Honduras	8075060	1673614
Hong Kong	7287983	5409766
Hungary	9855023	7779037
Iceland	329425	328803
India	1311050527	354114747	
Indonesia	257563815	50004175
Iran	79109272	36364272
Iraq	36423395	4552924
Ireland	4688465	3777949
Israel	8064036	5821658
Italy	59797685	38544596
Jamaica	2793335	1187008
Japan	126573481	114994210
Jordan	7594547	3428396
Kazakhstan	17625226	9784837
Kenya	46050302	20485806
Kiribati	112423	14252
Kuwait	3892115	3095788
Kyrgyzstan	5939962	1932185
Laos	6802023	1038676
Latvia	1970503	1498715
Lebanon	5850743	4405469
Lesotho	2135022	376247
Liberia	4503438	341940
Libya	6278438	1215405
Liechtenstein	37531	35840
Lithuania	2878405	2177041
Luxembourg	567110	538494
Macao	587606	421683
Madagascar	24235390	993651
Malawi	17215232	1088308
Malaysia	30331007	20637217
Maldives	363657	189995
Mali	17599694	1865568
Malta	418670	324998
Marshall Islands	52993	10144
Mauritania	4067564	616526
Mauritius	1273212	537077
Mexico	127017224	56834009
Micronesia	104460	32091
Moldova	4068897	1932610
Monaco	37731	34968
Mongolia	2959134	974823
Montenegro	625781	384780
Morocco	34377511	19726023
Mozambique	27977863	1746474
Myanmar	53897154	1276315
Namibia	2458830	377836
Nepal	28513700	4749454
Netherlands	16924929	15816263
New Caledonia	263118	184183
New Zealand	4528526	3992478
Nicaragua	6082032	1146897
Niger	19899120	411650
Nigeria	182201962	82094998
Norway	5210967	5080388
Oman	4490541	3181228
Pakistan	188924874	31318346
Panama	3929141	1770265
Papua New Guinea	7619321	834860
Paraguay	6639123	3030854
Peru	31376670	12792717
Philippines	100699395	42623234
Poland	38611794	27251630
Portugal	10349803	6876155
Puerto Rico	3683238	3003943
Qatar	2235355	2051262
Romania	19511324	11080926
Russia	143456918	101928190
Rwanda	11609666	1378157
Saint Kitts and Nevis	55572	36662
Saint Lucia	184999	104181
Samoa	193228	51368
Sao Tome and Principe	190344	47977
Saudi Arabia	31540372	20251947
Senegal	15129273	3274407
Serbia	8850975	4765618
Seychelles	96471	54769
Sierra Leone	6453184	150267
Singapore	5603740	4608852
Slovakia	5426258	4433631
Slovenia	2067526	1484582
Solomon Islands	583591	55849
Somalia	10787104	184256
South Africa	54490406	27501308
South Korea	50293439	42751757
South Sudan	12339812	2066390
Spain	46121699	37060103
Sri Lanka	20715010	5839905
St. Vincent & Grenadines	109462	64626
State of Palestine	4668466	2797412
Sudan	40234882	10415087
Suriname	542975	225819
Swaziland	1286970	355254
Sweden	9779426	9075069
Switzerland	8298663	7228373
Syria	18502413	5396107
Tajikistan	8481855	1555693
Tanzania	53470420	2742269
TFYR Macedonia	2078453	1425912
Thailand	67959359	27369176
Timor-Leste	1184765	13614
Togo	7304578	495668
Tonga	106170	47321
Trinidad and Tobago	1360088	911980
Tunisia	11253554	5346506
Turkey	78665830	43953971
Turkmenistan	5373502	741414
U.K.	64715810	59717974
U.S.	321773631	283712407
Uganda	39032383	7249340
Ukraine	44823765	19609142
United Arab Emirates	9156963	8372080
United States Virgin Islands	106291	56128
Uruguay	3431555	2193426
Uzbekistan	29893488	14559632
Vanuatu	264652	71377
Venezuela	31108083	17873460
Viet Nam	93447601	47499416
Yemen	26832215	6441112
Zambia	16211767	2991599
Zimbabwe	15602751	3225534
