10	20	26	31	35	36
9	13	14	20	26	33
11	14	28	30	33	40
1	9	14	20	24	38
4	7	9	14	26	30
4	6	19	35	44	45
20	26	32	33	34	39
12	20	24	25	28	31
9	13	15	24	32	43
6	10	12	17	27	33
33	36	40	41	43	45
4	8	11	14	16	20
10	13	19	24	42	43
2	3	16	22	32	34
19	29	32	36	40	45
6	17	23	24	25	37
8	10	27	38	41	42
4	12	14	38	43	45
8	19	21	23	27	28
9	16	23	32	34	38
7	8	20	29	36	41
7	10	12	36	41	45
4	26	32	33	35	37
2	20	23	26	27	34
9	16	28	30	32	33
4	12	16	18	33	40
8	24	25	28	31	40
1	5	28	35	36	37
6	13	19	20	22	35
1	2	12	37	40	41
1	7	14	32	33	37
3	12	21	30	42	43
5	20	22	29	42	45
30	31	33	38	40	42
19	22	33	40	42	43
3	4	8	14	17	37
2	11	21	26	30	42
2	12	25	27	29	30
7	9	23	28	39	42
9	10	11	24	26	31
9	13	21	26	29	39
1	16	21	22	23	42
1	7	19	20	21	26
2	5	6	28	35	41
6	26	27	35	43	44
2	20	24	35	42	44
4	18	27	29	38	42
2	5	13	22	28	35
16	27	35	37	39	44
5	18	19	26	40	43
10	13	32	36	39	45
8	10	16	19	43	44
3	6	8	32	38	42
16	21	26	40	41	43
1	21	24	25	33	34
1	12	13	25	28	44
3	9	14	17	20	31
3	5	12	40	41	45
1	5	11	13	21	22
4	20	21	25	26	32
4	7	22	26	42	44
1	9	11	12	20	24
14	22	24	27	32	41
8	22	30	39	43	45
6	9	13	18	40	44
16	27	28	29	34	44
1	3	8	22	33	35
2	4	5	25	34	45
3	10	16	21	24	34
5	13	15	16	27	34
4	13	22	36	39	42
1	9	15	22	23	30
3	9	11	29	41	44
1	9	14	22	25	39
3	10	13	26	38	39
8	9	15	17	20	39
7	22	24	28	34	39
2	3	8	26	28	34
16	20	23	27	30	39
2	16	21	27	34	41
5	10	22	24	36	41
9	13	21	35	39	45
2	6	23	27	28	38
14	20	27	32	44	45
1	6	10	25	33	38
3	14	29	30	32	42
3	5	7	8	39	40
12	16	18	28	31	35
3	5	15	18	42	43
17	20	21	22	23	43
1	21	22	30	39	40
1	3	5	30	40	43
3	5	9	11	31	43
8	13	32	37	39	45
3	20	29	30	31	34
4	7	17	22	31	33
2	5	12	24	36	38
5	7	17	25	26	36
5	21	36	37	38	43
4	5	13	33	35	39
2	3	23	28	35	42
12	18	22	23	27	39
13	15	19	20	26	35
2	28	29	31	43	44
3	9	13	27	35	36
10	15	29	34	37	41
2	24	25	31	36	38
12	16	27	32	35	45
7	10	20	22	38	41
19	24	35	36	37	45
5	6	16	29	30	32
4	12	20	29	33	43
2	4	5	7	38	43
5	8	20	21	28	32
14	17	22	31	35	45
8	13	17	34	41	44
12	15	18	26	28	38
2	13	14	18	32	45
16	18	23	29	32	42
1	16	20	34	35	42
15	20	29	32	37	44
2	3	9	18	22	44
7	17	18	19	43	44
3	11	14	17	18	20
3	8	9	28	35	37
8	17	24	29	34	35
10	26	28	35	36	44
5	11	19	24	38	40
3	4	11	29	38	42
12	14	17	26	35	37
8	13	17	27	35	40
10	13	15	22	40	44
7	16	24	36	43	44
8	13	14	17	19	45
7	13	18	27	30	33
11	19	25	26	27	29
4	11	21	34	38	40
8	11	14	28	34	43
9	16	19	30	35	41
2	6	8	12	24	25
11	18	19	37	39	44
7	21	30	31	40	45
15	26	28	29	33	36
3	5	7	25	34	42
7	13	15	23	24	29
8	21	29	37	39	43
2	11	27	30	33	34
6	23	25	33	39	41
1	8	18	29	30	34
10	13	15	29	30	39
2	5	14	17	24	28
10	17	22	26	28	30
4	5	11	14	35	45
10	13	20	26	27	33
18	20	21	23	37	41
3	7	8	14	30	35
13	25	32	43	44	45
8	29	36	38	40	44
5	8	21	24	34	43
14	19	22	30	38	42
8	11	32	36	40	41
6	22	27	29	37	43
13	24	26	33	38	42
10	21	24	34	42	43
6	8	28	37	38	40
9	17	22	29	33	36
10	23	26	32	33	36
3	6	16	17	31	45
8	10	16	23	29	44
3	12	13	20	29	40
4	18	19	25	26	29
16	19	23	26	27	43
4	6	14	17	27	38
6	22	24	28	30	45
7	17	30	35	36	43
17	30	31	33	44	45
3	11	12	35	42	45
4	15	30	36	39	45
13	22	27	32	41	43
5	6	14	18	36	39
7	12	15	22	34	45
4	6	15	16	21	30
9	10	11	19	24	29
1	11	17	23	24	26
16	18	19	26	33	36
4	17	22	29	30	32
8	15	22	34	42	43
18	21	23	28	32	42
2	14	22	23	33	43
8	10	18	19	23	34
11	20	21	26	33	40
6	21	22	24	28	35
1	4	13	14	34	36
20	22	27	32	36	44
11	18	26	42	43	45
7	9	19	29	39	45
6	8	11	21	30	37
10	11	18	21	22	37
4	10	25	35	39	45
6	11	20	26	35	40
6	9	20	21	27	39
5	6	8	12	33	35
2	19	20	26	30	31
3	4	7	9	32	43
9	10	22	26	31	34
7	10	15	16	24	44
7	18	19	31	35	39
4	6	15	19	32	37
2	29	31	33	40	43
10	16	17	26	28	43
10	11	22	35	40	44
7	9	13	21	28	36
2	11	21	35	41	43
1	8	23	24	33	36
10	16	18	28	29	36
1	5	17	21	26	34
5	21	29	33	39	43
7	12	20	32	38	43
3	27	33	34	35	39
1	5	11	25	40	41
11	32	40	41	42	45
4	23	26	35	39	40
16	17	19	20	34	35
12	13	19	30	34	45
6	9	11	14	18	30
1	7	14	43	44	45
9	14	23	32	40	43
6	15	20	24	38	40
1	2	16	20	27	33
18	23	26	33	35	36
8	16	22	28	34	40
7	14	22	39	40	42
1	16	22	23	43	45
2	20	26	33	44	45
9	15	23	28	33	40
13	25	27	35	36	43
15	18	20	23	34	42
2	10	17	27	28	44
8	14	16	26	34	36
10	19	30	39	43	45
3	6	8	17	24	30
5	9	12	20	31	33
1	2	14	15	27	38
3	19	20	28	35	37
7	9	20	22	38	42
2	10	18	23	27	33
6	15	29	35	38	43
13	24	32	33	36	42
1	6	12	28	32	36
12	13	21	26	32	33
4	8	10	12	28	38
14	18	20	23	33	42
8	9	10	19	35	45
1	5	19	32	37	38
8	9	17	22	23	42
6	16	22	23	24	43
5	7	21	23	28	32
3	11	12	32	33	44
7	13	34	40	43	45
1	4	10	13	15	19
7	16	21	29	30	42
9	14	16	26	34	38
4	14	17	28	33	41
1	7	12	13	22	29
2	11	30	34	37	39
1	6	7	14	23	24
16	23	26	30	33	43
12	15	24	32	42	45
4	8	12	22	39	45
4	5	7	12	32	33
1	16	26	29	30	43
12	13	28	38	42	45
4	18	24	29	35	45
3	6	10	15	42	43
13	15	24	30	35	43
11	12	20	31	42	43
11	12	18	27	31	43
8	11	18	29	36	37
2	6	8	14	23	24
2	7	10	13	23	43
5	6	22	26	30	45
13	14	18	20	40	44
19	26	27	39	41	42
7	23	24	25	37	44
13	18	23	27	34	35
6	7	11	14	38	43
2	11	18	36	40	41
9	17	21	26	28	41
13	21	26	29	34	36
7	12	15	16	21	29
6	15	16	26	31	34
4	12	22	24	34	45
1	4	20	26	34	38
11	20	36	38	39	41
6	11	26	30	31	42
1	11	16	17	30	42
9	12	17	27	33	39
2	8	10	25	28	40
3	6	7	16	32	33
7	9	16	17	29	45
10	15	29	32	39	40
13	15	17	18	39	44
12	22	36	37	39	43
5	6	8	13	20	35
4	10	15	19	34	44
7	9	22	25	27	45
6	26	40	41	42	44
11	21	32	38	42	45
3	10	15	20	28	41
3	5	6	24	27	30
16	19	22	24	32	41
