1|amerikai|Buick
2|amerikai|Cadillac
3|amerikai|Chevrolet
4|amerikai|Chrysler
5|amerikai|Dodge
6|amerikai|Hummer
7|amerikai|Lincoln
8|angol|Aston Martin
9|angol|Bentley
10|angol|Rover
11|francia|Citroen
12|francia|Peugeot
13|francia|Renault
14|japán|Honda
15|japán|Mazda
16|japán|Nissan
17|japán|Subaru
18|japán|Suzuki
19|japán|Toyota
20|lengyel|Polski
21|német|Audi
22|német|BMW
23|német|Mercedes
24|német|Ople
25|német|Trabant
26|német|Volkswagen
27|német|Wartburg
28|olasz|Bugatti
29|olasz|Ferrari
30|olasz|Fiat
31|olasz|Lamborghini
32|olasz|Lancia
33|orosz|Lada
34|orosz|Volga
35|román|Dacia
36|spanyol|Seat
37|svéd|Volvo
38|szerb|Zastava
